"Id","Country","Year","disaster","deaths"
240,"Africa",1980,"temperatures",0
241,"Africa",1980,"volcanic",178.3
242,"Africa",1980,"wildfires",0.4
243,"Africa",1990,"drought",23.9
244,"Africa",1990,"earthquakes",79.9
245,"Africa",1990,"floods",731.7
246,"Africa",1990,"fog",0
247,"Africa",1990,"glacialLake",0
248,"Africa",1990,"landslides",17.8
249,"Africa",1990,"massMovements",4.7
250,"Africa",1990,"storms",113
251,"Africa",1990,"temperatures",10.2
252,"Africa",1990,"volcanic",0
253,"Africa",1990,"wildfires",10.6
254,"Africa",2000,"drought",88.8
255,"Africa",2000,"earthquakes",333.5
256,"Africa",2000,"floods",794.8
257,"Africa",2000,"fog",0
258,"Africa",2000,"glacialLake",0
259,"Africa",2000,"landslides",20.2
260,"Africa",2000,"massMovements",9.8
261,"Africa",2000,"storms",127.3
262,"Africa",2000,"temperatures",12.5
263,"Africa",2000,"volcanic",20.6
264,"Africa",2000,"wildfires",15.4
265,"Africa",2010,"drought",2000
266,"Africa",2010,"earthquakes",3.1
267,"Africa",2010,"floods",723.3
268,"Africa",2010,"fog",0
269,"Africa",2010,"glacialLake",0
270,"Africa",2010,"landslides",242.5
271,"Africa",2010,"massMovements",0
272,"Africa",2010,"storms",291.6
273,"Africa",2010,"temperatures",14.5
274,"Africa",2010,"volcanic",0
275,"Africa",2010,"wildfires",7.1
276,"Africa",2020,"drought",821.6667
277,"Africa",2020,"earthquakes",0
278,"Africa",2020,"floods",1141
279,"Africa",2020,"fog",0
280,"Africa",2020,"glacialLake",0
281,"Africa",2020,"landslides",15.333333
282,"Africa",2020,"massMovements",0
283,"Africa",2020,"storms",179.33333
284,"Africa",2020,"temperatures",0
285,"Africa",2020,"volcanic",10.666667
286,"Africa",2020,"wildfires",44.666668
287,"Albania",1900,"drought",0
288,"Albania",1900,"earthquakes",12
289,"Albania",1900,"floods",0
290,"Albania",1900,"fog",0
291,"Albania",1900,"glacialLake",0
292,"Albania",1900,"landslides",0
293,"Albania",1900,"massMovements",0
294,"Albania",1900,"storms",0
295,"Albania",1900,"temperatures",0
296,"Albania",1900,"volcanic",0
297,"Albania",1900,"wildfires",0
298,"Albania",1910,"drought",0
299,"Albania",1910,"earthquakes",0
300,"Albania",1910,"floods",0
301,"Albania",1910,"fog",0
302,"Albania",1910,"glacialLake",0
303,"Albania",1910,"landslides",0
304,"Albania",1910,"massMovements",0
305,"Albania",1910,"storms",0
306,"Albania",1910,"temperatures",0
307,"Albania",1910,"volcanic",0
308,"Albania",1910,"wildfires",0
309,"Albania",1920,"drought",0
310,"Albania",1920,"earthquakes",20
311,"Albania",1920,"floods",0
312,"Albania",1920,"fog",0
313,"Albania",1920,"glacialLake",0
314,"Albania",1920,"landslides",0
315,"Albania",1920,"massMovements",0
316,"Albania",1920,"storms",0
317,"Albania",1920,"temperatures",0
318,"Albania",1920,"volcanic",0
319,"Albania",1920,"wildfires",0
320,"Albania",1930,"drought",0
321,"Albania",1930,"earthquakes",15
322,"Albania",1930,"floods",0
323,"Albania",1930,"fog",0
324,"Albania",1930,"glacialLake",0
325,"Albania",1930,"landslides",0
326,"Albania",1930,"massMovements",0
327,"Albania",1930,"storms",0
328,"Albania",1930,"temperatures",0
329,"Albania",1930,"volcanic",0
330,"Albania",1930,"wildfires",0
331,"Albania",1940,"drought",0
332,"Albania",1940,"earthquakes",4.3
333,"Albania",1940,"floods",0
334,"Albania",1940,"fog",0
335,"Albania",1940,"glacialLake",0
336,"Albania",1940,"landslides",0
337,"Albania",1940,"massMovements",0
338,"Albania",1940,"storms",0
339,"Albania",1940,"temperatures",0
340,"Albania",1940,"volcanic",0
341,"Albania",1940,"wildfires",0
342,"Albania",1950,"drought",0
343,"Albania",1950,"earthquakes",0
344,"Albania",1950,"floods",0
345,"Albania",1950,"fog",0
346,"Albania",1950,"glacialLake",0
347,"Albania",1950,"landslides",0
348,"Albania",1950,"massMovements",0
349,"Albania",1950,"storms",0
350,"Albania",1950,"temperatures",0
351,"Albania",1950,"volcanic",0
352,"Albania",1950,"wildfires",0
353,"Albania",1960,"drought",0
354,"Albania",1960,"earthquakes",2.6
355,"Albania",1960,"floods",0
356,"Albania",1960,"fog",0
357,"Albania",1960,"glacialLake",0
358,"Albania",1960,"landslides",0
359,"Albania",1960,"massMovements",0
360,"Albania",1960,"storms",0
361,"Albania",1960,"temperatures",0
362,"Albania",1960,"volcanic",0
363,"Albania",1960,"wildfires",0
364,"Albania",1970,"drought",0
365,"Albania",1970,"earthquakes",3.5
366,"Albania",1970,"floods",0
367,"Albania",1970,"fog",0
368,"Albania",1970,"glacialLake",0
369,"Albania",1970,"landslides",0
370,"Albania",1970,"massMovements",0
371,"Albania",1970,"storms",0
372,"Albania",1970,"temperatures",0
373,"Albania",1970,"volcanic",0
374,"Albania",1970,"wildfires",0
375,"Albania",1980,"drought",0
376,"Albania",1980,"earthquakes",0.1
377,"Albania",1980,"floods",0
378,"Albania",1980,"fog",0
379,"Albania",1980,"glacialLake",0
380,"Albania",1980,"landslides",5.7
381,"Albania",1980,"massMovements",0
382,"Albania",1980,"storms",0
383,"Albania",1980,"temperatures",6.8
384,"Albania",1980,"volcanic",0
385,"Albania",1980,"wildfires",0
386,"Albania",1990,"drought",0
387,"Albania",1990,"earthquakes",0
388,"Albania",1990,"floods",1.5
389,"Albania",1990,"fog",0
390,"Albania",1990,"glacialLake",0
391,"Albania",1990,"landslides",0
392,"Albania",1990,"massMovements",0
393,"Albania",1990,"storms",0
394,"Albania",1990,"temperatures",0
395,"Albania",1990,"volcanic",0
396,"Albania",1990,"wildfires",0
397,"Albania",2000,"drought",0
398,"Albania",2000,"earthquakes",0
399,"Albania",2000,"floods",0.4
400,"Albania",2000,"fog",0
401,"Albania",2000,"glacialLake",0
402,"Albania",2000,"landslides",0
403,"Albania",2000,"massMovements",0
404,"Albania",2000,"storms",0.8
405,"Albania",2000,"temperatures",0.3
406,"Albania",2000,"volcanic",0
407,"Albania",2000,"wildfires",0
408,"Albania",2010,"drought",0
409,"Albania",2010,"earthquakes",5.1
410,"Albania",2010,"floods",0.4
411,"Albania",2010,"fog",0
412,"Albania",2010,"glacialLake",0
413,"Albania",2010,"landslides",0
414,"Albania",2010,"massMovements",0
415,"Albania",2010,"storms",0
416,"Albania",2010,"temperatures",1.1
417,"Albania",2010,"volcanic",0
418,"Albania",2010,"wildfires",0
419,"Albania",2020,"drought",0
420,"Albania",2020,"earthquakes",0
421,"Albania",2020,"floods",0
422,"Albania",2020,"fog",0
423,"Albania",2020,"glacialLake",0
424,"Albania",2020,"landslides",0
425,"Albania",2020,"massMovements",0
426,"Albania",2020,"storms",0
427,"Albania",2020,"temperatures",0
428,"Albania",2020,"volcanic",0
429,"Albania",2020,"wildfires",0
430,"Algeria",1900,"drought",0
431,"Algeria",1900,"earthquakes",0
432,"Algeria",1900,"floods",0
433,"Algeria",1900,"fog",0
434,"Algeria",1900,"glacialLake",0
435,"Algeria",1900,"landslides",0
436,"Algeria",1900,"massMovements",0
437,"Algeria",1900,"storms",0
438,"Algeria",1900,"temperatures",0
439,"Algeria",1900,"volcanic",0
440,"Algeria",1900,"wildfires",0
441,"Algeria",1910,"drought",0
442,"Algeria",1910,"earthquakes",1.2
443,"Algeria",1910,"floods",0
444,"Algeria",1910,"fog",0
445,"Algeria",1910,"glacialLake",0
446,"Algeria",1910,"landslides",0
447,"Algeria",1910,"massMovements",0
448,"Algeria",1910,"storms",0
449,"Algeria",1910,"temperatures",0
450,"Algeria",1910,"volcanic",0
451,"Algeria",1910,"wildfires",0
452,"Algeria",1920,"drought",0
453,"Algeria",1920,"earthquakes",0
454,"Algeria",1920,"floods",300
455,"Algeria",1920,"fog",0
456,"Algeria",1920,"glacialLake",0
457,"Algeria",1920,"landslides",0
458,"Algeria",1920,"massMovements",0
459,"Algeria",1920,"storms",0
460,"Algeria",1920,"temperatures",0
461,"Algeria",1920,"volcanic",0
462,"Algeria",1920,"wildfires",0
463,"Algeria",1930,"drought",0
464,"Algeria",1930,"earthquakes",0
465,"Algeria",1930,"floods",0
466,"Algeria",1930,"fog",0
467,"Algeria",1930,"glacialLake",0
468,"Algeria",1930,"landslides",0
