"Country","Year","disaster","economic_damages","deaths"
"Africa",2000,"glacialLake",0,0
"Africa",2000,"landslides",0,20.2
"Africa",2000,"massMovements",0,9.8
"Africa",2000,"storms",71847200,127.3
"Africa",2000,"temperatures",80900,12.5
"Africa",2000,"volcanic",9e+05,20.6
"Africa",2000,"wildfires",4.4e+07,15.4
"Africa",2010,"drought",365300000,2000
"Africa",2010,"earthquakes",45800000,3.1
"Africa",2010,"floods",396271500,723.3
"Africa",2010,"fog",0,0
"Africa",2010,"glacialLake",0,0
"Africa",2010,"landslides",5803600,242.5
"Africa",2010,"massMovements",0,0
"Africa",2010,"storms",378990000,291.6
"Africa",2010,"temperatures",0,14.5
"Africa",2010,"volcanic",0,0
"Africa",2010,"wildfires",4.2e+07,7.1
"Africa",2020,"drought",627666700,821.6667
"Africa",2020,"earthquakes",0,0
"Africa",2020,"floods",1234333300,1141
"Africa",2020,"fog",0,0
"Africa",2020,"glacialLake",0,0
"Africa",2020,"landslides",0,15.333333
"Africa",2020,"massMovements",0,0
"Africa",2020,"storms",5e+06,179.33333
"Africa",2020,"temperatures",0,0
"Africa",2020,"volcanic",0,10.666667
"Africa",2020,"wildfires",0,44.666668
"Albania",1900,"drought",0,0
"Albania",1900,"earthquakes",2380000,12
"Albania",1900,"floods",0,0
"Albania",1900,"fog",0,0
"Albania",1900,"glacialLake",0,0
"Albania",1900,"landslides",0,0
"Albania",1900,"massMovements",0,0
"Albania",1900,"storms",0,0
"Albania",1900,"temperatures",0,0
"Albania",1900,"volcanic",0,0
"Albania",1900,"wildfires",0,0
"Albania",1910,"drought",0,0
"Albania",1910,"earthquakes",0,0
"Albania",1910,"floods",0,0
"Albania",1910,"fog",0,0
"Albania",1910,"glacialLake",0,0
"Albania",1910,"landslides",0,0
"Albania",1910,"massMovements",0,0
"Albania",1910,"storms",0,0
"Albania",1910,"temperatures",0,0
"Albania",1910,"volcanic",0,0
"Albania",1910,"wildfires",0,0
"Albania",1920,"drought",0,0
"Albania",1920,"earthquakes",0,20
"Albania",1920,"floods",0,0
"Albania",1920,"fog",0,0
"Albania",1920,"glacialLake",0,0
"Albania",1920,"landslides",0,0
"Albania",1920,"massMovements",0,0
"Albania",1920,"storms",0,0
"Albania",1920,"temperatures",0,0
"Albania",1920,"volcanic",0,0
"Albania",1920,"wildfires",0,0
"Albania",1930,"drought",0,0
"Albania",1930,"earthquakes",0,15
"Albania",1930,"floods",0,0
"Albania",1930,"fog",0,0
"Albania",1930,"glacialLake",0,0
"Albania",1930,"landslides",0,0
"Albania",1930,"massMovements",0,0
"Albania",1930,"storms",0,0
"Albania",1930,"temperatures",0,0
"Albania",1930,"volcanic",0,0
"Albania",1930,"wildfires",0,0
"Albania",1940,"drought",0,0
"Albania",1940,"earthquakes",0,4.3
"Albania",1940,"floods",0,0
"Albania",1940,"fog",0,0
"Albania",1940,"glacialLake",0,0
"Albania",1940,"landslides",0,0
"Albania",1940,"massMovements",0,0
"Albania",1940,"storms",0,0
"Albania",1940,"temperatures",0,0
"Albania",1940,"volcanic",0,0
"Albania",1940,"wildfires",0,0
"Albania",1950,"drought",0,0
"Albania",1950,"earthquakes",0,0
"Albania",1950,"floods",0,0
"Albania",1950,"fog",0,0
"Albania",1950,"glacialLake",0,0
"Albania",1950,"landslides",0,0
"Albania",1950,"massMovements",0,0
"Albania",1950,"storms",0,0
"Albania",1950,"temperatures",0,0
"Albania",1950,"volcanic",0,0
"Albania",1950,"wildfires",0,0
"Albania",1960,"drought",0,0
"Albania",1960,"earthquakes",2e+06,2.6
"Albania",1960,"floods",0,0
"Albania",1960,"fog",0,0
"Albania",1960,"glacialLake",0,0
"Albania",1960,"landslides",0,0
"Albania",1960,"massMovements",0,0
"Albania",1960,"storms",0,0
"Albania",1960,"temperatures",0,0
"Albania",1960,"volcanic",0,0
"Albania",1960,"wildfires",0,0
"Albania",1970,"drought",0,0
"Albania",1970,"earthquakes",0,3.5
"Albania",1970,"floods",0,0
"Albania",1970,"fog",0,0
"Albania",1970,"glacialLake",0,0
"Albania",1970,"landslides",0,0
"Albania",1970,"massMovements",0,0
"Albania",1970,"storms",0,0
"Albania",1970,"temperatures",0,0
"Albania",1970,"volcanic",0,0
"Albania",1970,"wildfires",0,0
"Albania",1980,"drought",0,0
"Albania",1980,"earthquakes",5e+05,0.1
"Albania",1980,"floods",0,0
"Albania",1980,"fog",0,0
"Albania",1980,"glacialLake",0,0
"Albania",1980,"landslides",0,5.7
"Albania",1980,"massMovements",0,0
"Albania",1980,"storms",0,0
"Albania",1980,"temperatures",0,6.8
"Albania",1980,"volcanic",0,0
"Albania",1980,"wildfires",0,0
"Albania",1990,"drought",0,0
"Albania",1990,"earthquakes",0,0
"Albania",1990,"floods",7e+05,1.5
"Albania",1990,"fog",0,0
"Albania",1990,"glacialLake",0,0
"Albania",1990,"landslides",0,0
"Albania",1990,"massMovements",0,0
"Albania",1990,"storms",0,0
"Albania",1990,"temperatures",0,0
"Albania",1990,"volcanic",0,0
"Albania",1990,"wildfires",0,0
"Albania",2000,"drought",0,0
"Albania",2000,"earthquakes",0,0
"Albania",2000,"floods",1767300,0.4
"Albania",2000,"fog",0,0
"Albania",2000,"glacialLake",0,0
"Albania",2000,"landslides",0,0
"Albania",2000,"massMovements",0,0
"Albania",2000,"storms",0,0.8
"Albania",2000,"temperatures",0,0.3
"Albania",2000,"volcanic",0,0
"Albania",2000,"wildfires",0,0
"Albania",2010,"drought",0,0
"Albania",2010,"earthquakes",74500000,5.1
"Albania",2010,"floods",890000,0.4
"Albania",2010,"fog",0,0
"Albania",2010,"glacialLake",0,0
"Albania",2010,"landslides",0,0
"Albania",2010,"massMovements",0,0
"Albania",2010,"storms",0,0
"Albania",2010,"temperatures",0,1.1
"Albania",2010,"volcanic",0,0
"Albania",2010,"wildfires",0,0
"Albania",2020,"drought",0,0
"Albania",2020,"earthquakes",0,0
"Albania",2020,"floods",0,0
"Albania",2020,"fog",0,0
"Albania",2020,"glacialLake",0,0
"Albania",2020,"landslides",0,0
"Albania",2020,"massMovements",0,0
"Albania",2020,"storms",0,0
"Albania",2020,"temperatures",0,0
"Albania",2020,"volcanic",0,0
"Albania",2020,"wildfires",0,0
"Algeria",1900,"drought",0,0
"Algeria",1900,"earthquakes",0,0
"Algeria",1900,"floods",0,0
"Algeria",1900,"fog",0,0
"Algeria",1900,"glacialLake",0,0
"Algeria",1900,"landslides",0,0
"Algeria",1900,"massMovements",0,0
"Algeria",1900,"storms",0,0
"Algeria",1900,"temperatures",0,0
"Algeria",1900,"volcanic",0,0
"Algeria",1900,"wildfires",0,0
"Algeria",1910,"drought",0,0
"Algeria",1910,"earthquakes",0,1.2
"Algeria",1910,"floods",0,0
"Algeria",1910,"fog",0,0
"Algeria",1910,"glacialLake",0,0
"Algeria",1910,"landslides",0,0
"Algeria",1910,"massMovements",0,0
"Algeria",1910,"storms",0,0
"Algeria",1910,"temperatures",0,0
"Algeria",1910,"volcanic",0,0
"Algeria",1910,"wildfires",0,0
